,Datos,Datos Ch2,Tiempo,Tiempo Ch2,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia
39,-0.012110000000000001,-0.012110000000000001,0.0,0.0,,,,
40,-0.012100000000000001,-0.012100000000000001,0.004,0.004,,,,
41,-0.01209,-0.01209,0.0,0.008,,,,
42,-0.01208,-0.01208,0.008,0.004,,,,
43,-0.01207,-0.01207,0.018000000000000002,0.004,,,,
44,-0.012060000000000001,-0.012060000000000001,0.0,0.004,,,,
45,-0.01205,-0.01205,0.002,0.04,,,,
46,-0.01204,-0.01204,0.004,0.0,,,,
47,-0.01203,-0.01203,0.004,0.008,,,,
48,-0.012020000000000001,-0.012020000000000001,0.014,0.012,,,,
49,-0.01201,-0.01201,-0.002,0.004,,,,
50,-0.012,-0.012,0.002,0.0,,,,
51,-0.01199,-0.01199,0.004,0.0,,,,
52,-0.011980000000000001,-0.011980000000000001,0.002,0.008,,,,
53,-0.011970000000000001,-0.011970000000000001,-0.004,0.016,,,,
54,-0.01196,-0.01196,-0.002,0.004,,,,
55,-0.01195,-0.01195,0.0,-0.004,,,,
56,-0.011940000000000001,-0.011940000000000001,-0.002,0.004,,,,
57,-0.011930000000000001,-0.011930000000000001,0.002,0.0,,,,
58,-0.01192,-0.01192,0.008,0.012,,,,
59,-0.01191,-0.01191,0.004,-0.004,,,,
60,-0.0119,-0.0119,0.006,0.008,,,,
61,-0.011890000000000001,-0.011890000000000001,0.0,0.004,,,,
62,-0.01188,-0.01188,-0.002,0.008,,,,
63,-0.01187,-0.01187,0.008,0.012,,,,
64,-0.01186,-0.01186,0.002,0.0,,,,
65,-0.011850000000000001,-0.011850000000000001,-0.004,0.0,,,,
66,-0.01184,-0.01184,-0.004,0.008,,,,
67,-0.01183,-0.01183,-0.004,0.012,,,,
68,-0.01182,-0.01182,0.002,0.016,,,,
69,-0.011810000000000001,-0.011810000000000001,0.004,0.0,,,,
70,-0.011800000000000001,-0.011800000000000001,0.004,0.008,,,,
71,-0.01179,-0.01179,0.004,0.004,,,,
72,-0.01178,-0.01178,0.004,-0.008,,,,
73,-0.011770000000000001,-0.011770000000000001,0.0,0.016,,,,
74,-0.011760000000000001,-0.011760000000000001,0.004,0.0,,,,
75,-0.01175,-0.01175,-0.002,0.004,,,,
76,-0.01174,-0.01174,0.004,0.008,,,,
77,-0.01173,-0.01173,0.0,0.004,,,,
78,-0.011720000000000001,-0.011720000000000001,0.0,0.0,,,,
79,-0.01171,-0.01171,0.002,0.012,,,,
80,-0.0117,-0.0117,0.018000000000000002,0.0,,,,
81,-0.01169,-0.01169,0.0,0.0,,,,
82,-0.011680000000000001,-0.011680000000000001,-0.002,-0.004,,,,
83,-0.01167,-0.01167,-0.008,-0.004,,,,
84,-0.01166,-0.01166,0.006,-0.004,,,,
85,-0.01165,-0.01165,0.004,0.008,,,,
86,-0.011640000000000001,-0.011640000000000001,0.002,0.008,,,,
87,-0.011630000000000001,-0.011630000000000001,-0.002,0.004,,,,
88,-0.01162,-0.01162,0.01,0.0,,,,
89,-0.01161,-0.01161,0.002,0.004,,,,
90,-0.011600000000000001,-0.011600000000000001,-0.004,0.008,,,,
91,-0.011590000000000001,-0.011590000000000001,0.0,0.0,,,,
92,-0.01158,-0.01158,0.002,0.0,,,,
93,-0.01157,-0.01157,0.01,0.0,,,,
94,-0.01156,-0.01156,-0.002,0.0,,,,
95,-0.011550000000000001,-0.011550000000000001,0.002,-0.004,,,,
96,-0.01154,-0.01154,0.004,0.0,,,,
97,-0.01153,-0.01153,0.006,0.004,,,,
98,-0.01152,-0.01152,0.01,0.004,,,,
99,-0.011510000000000001,-0.011510000000000001,0.006,-0.004,,,,
100,-0.0115,-0.0115,0.0,0.008,,,,
101,-0.01149,-0.01149,0.0,0.0,,,,
102,-0.01148,-0.01148,0.002,0.004,,,,
103,-0.011470000000000001,-0.011470000000000001,0.01,0.012,,,,
104,-0.011460000000000001,-0.011460000000000001,0.0,-0.008,,,,
105,-0.01145,-0.01145,0.0,-0.004,,,,
106,-0.01144,-0.01144,-0.002,0.012,,,,
107,-0.011430000000000001,-0.011430000000000001,0.012,0.008,,,,
108,-0.011420000000000001,-0.011420000000000001,0.01,-0.016,,,,
