,Datos,Tiempo,Tiempo de integración [ms]
2022,0.030880000000000005,-0.0016,10
2023,0.030920000000000003,-0.0032,10
2024,0.03096,0.0,10
2025,0.031,0.0016,10
2026,0.031039999999999998,0.0024000000000000002,10
2027,0.03108000000000001,-0.0048000000000000004,10
2028,0.03112000000000001,-0.010400000000000001,10
2029,0.031160000000000007,-0.0088,10
2030,0.031200000000000006,-0.0048000000000000004,10
2031,0.031240000000000004,-0.0016,10
2032,0.03128,-0.0016,10
2033,0.03132,-0.0016,10
2034,0.03136,0.0032,10
2035,0.0314,-0.0048000000000000004,10
2036,0.03144000000000001,-0.0056,10
2037,0.03148000000000001,-0.0016,10
2038,0.031520000000000006,-0.0056,10
2039,0.031560000000000005,-0.010400000000000001,10
2040,0.0316,-0.0184,10
2041,0.03164,-0.027200000000000002,10
2042,0.03168,-0.027200000000000002,10
2043,0.03172,-0.036000000000000004,10
2044,0.03176000000000001,-0.028,10
2045,0.03180000000000001,-0.0224,10
2046,0.03184000000000001,-0.0296,10
2047,0.031880000000000006,-0.033600000000000005,10
2048,0.031920000000000004,-0.024,10
2049,0.03196,-0.0184,10
2050,0.032,-0.0176,10
2051,0.03204,-0.010400000000000001,10
2052,0.03208,-0.024,10
2053,0.03212000000000001,-0.0224,10
2054,0.03216000000000001,-0.024,10
2055,0.032200000000000006,-0.033600000000000005,10
2056,0.032240000000000005,-0.0256,10
2057,0.03228,-0.0256,10
2058,0.03232,-0.019200000000000002,10
2059,0.03236,-0.0176,10
2060,0.0324,-0.0152,10
2061,0.03244000000000001,-0.016,10
2062,0.03248000000000001,-0.012,10
2063,0.03252000000000001,-0.004,10
2064,0.032560000000000006,-0.0056,10
2065,0.032600000000000004,-0.007200000000000001,10
2066,0.03264,-0.004,10
2067,0.03268,-0.0024000000000000002,10
2068,0.03272,-0.004,10
2069,0.03276,0.0,10
2070,0.03280000000000001,-0.0016,10
2071,0.03284000000000001,0.0024000000000000002,10
2072,0.032880000000000006,-0.0112,10
2073,0.032920000000000005,-0.014400000000000001,10
2074,0.03296,-0.0176,10
2075,0.033,-0.012,10
2076,0.03304,-0.02,10
2077,0.03308,-0.0736,10
2078,0.03312000000000001,-0.060000000000000005,10
2079,0.03316000000000001,-0.049600000000000005,10
2080,0.03320000000000001,-0.04,10
2081,0.033240000000000006,-0.0352,10
2082,0.033280000000000004,-0.0504,10
2083,0.03332,-0.0536,10
2084,0.03336,-0.048,10
2085,0.0334,-0.06960000000000001,10
2086,0.03344,-0.0616,10
2087,0.03348000000000001,-0.0824,10
2088,0.03352000000000001,-0.0688,10
2089,0.033560000000000006,-0.056,10
2090,0.033600000000000005,-0.0448,10
2091,0.03364,-0.0392,10
2092,0.03368,-0.031200000000000002,10
2093,0.03372,-0.0328,10
2094,0.03376,-0.0224,10
2095,0.03380000000000001,-0.0176,10
2096,0.03384000000000001,-0.023200000000000002,10
2097,0.03388000000000001,-0.016800000000000002,10
2098,0.033920000000000006,-0.014400000000000001,10
2099,0.033960000000000004,-0.023200000000000002,10
2100,0.034,-0.016,10
2101,0.03404,-0.016800000000000002,10
2102,0.03408,-0.0128,10
2103,0.03412,-0.008,10
2104,0.03416000000000001,-0.0088,10
2105,0.03420000000000001,-0.007200000000000001,10
2106,0.03424000000000001,-0.0064,10
2107,0.034280000000000005,-0.0048000000000000004,10
2108,0.03432,-0.004,10
2109,0.03436,-0.009600000000000001,10
2110,0.0344,-0.016,10
2111,0.03444,-0.0112,10
2112,0.03448000000000001,-0.008,10
2113,0.03452000000000001,-0.008,10
2114,0.03456000000000001,-0.008,10
2115,0.034600000000000006,-0.0056,10
2116,0.034640000000000004,-0.024800000000000003,10
2117,0.03468,-0.0328,10
2118,0.03472,-0.0264,10
2119,0.03476,-0.020800000000000003,10
2120,0.0348,-0.0176,10
2121,0.03484000000000001,-0.012,10
2122,0.03488000000000001,-0.0152,10
2123,0.03492000000000001,-0.009600000000000001,10
2124,0.034960000000000005,-0.008,10
2125,0.035,-0.0064,10
2126,0.03504,-0.036000000000000004,10
2127,0.03508,-0.036000000000000004,10
2128,0.03512,-0.028,10
2129,0.03516000000000001,-0.023200000000000002,10
2130,0.03520000000000001,-0.019200000000000002,10
2131,0.03524000000000001,-0.0152,10
2132,0.035280000000000006,-0.010400000000000001,10
2133,0.035320000000000004,-0.0152,10
2134,0.03536,-0.013600000000000001,10
2135,0.0354,-0.007200000000000001,10
2136,0.03544,-0.0088,10
2137,0.03548,-0.008,10
2138,0.03552000000000001,-0.009600000000000001,10
2139,0.03556000000000001,-0.004,10
2140,0.03560000000000001,-0.016,10
2141,0.035640000000000005,-0.012,10
2142,0.03568,-0.02,10
2143,0.03572,-0.013600000000000001,10
2144,0.03576,-0.024,10
2145,0.0358,-0.020800000000000003,10
2146,0.03584000000000001,-0.016800000000000002,10
2147,0.03588000000000001,-0.016800000000000002,10
2148,0.03592000000000001,-0.014400000000000001,10
2149,0.035960000000000006,-0.009600000000000001,10
2150,0.036000000000000004,-0.0088,10
2151,0.03604,-0.007200000000000001,10
2152,0.03608,-0.004,10
2153,0.03612,-0.0032,10
2154,0.03616,-0.0032,10
2155,0.03620000000000001,-0.0008,10
2156,0.03624000000000001,-0.0128,10
2157,0.03628000000000001,-0.0352,10
2158,0.036320000000000005,-0.0328,10
2159,0.03636,-0.0296,10
2160,0.0364,-0.0256,10
2161,0.03644,-0.019200000000000002,10
2162,0.03648,-0.0176,10
2163,0.03652000000000001,-0.0128,10
2164,0.03656000000000001,-0.0112,10
2165,0.03660000000000001,-0.008,10
2166,0.036640000000000006,-0.007200000000000001,10
2167,0.036680000000000004,-0.0088,10
2168,0.03672,-0.008,10
2169,0.03676,-0.0048000000000000004,10
2170,0.0368,-0.0128,10
2171,0.03684,-0.012,10
2172,0.03688000000000001,-0.0128,10
2173,0.03692000000000001,-0.009600000000000001,10
2174,0.03696000000000001,-0.014400000000000001,10
2175,0.037000000000000005,-0.0088,10
2176,0.037040000000000003,-0.0088,10
2177,0.03708,-0.007200000000000001,10
2178,0.03712,-0.0112,10
2179,0.03716,-0.013600000000000001,10
2180,0.03720000000000001,-0.016,10
2181,0.03724000000000001,-0.0112,10
2182,0.03728000000000001,-0.016,10
2183,0.037320000000000006,-0.0216,10
2184,0.037360000000000004,-0.032,10
2185,0.0374,-0.0216,10
2186,0.03744,-0.02,10
2187,0.03748,-0.0152,10
2188,0.03752,-0.0112,10
2189,0.03756000000000001,-0.010400000000000001,10
2190,0.03760000000000001,-0.009600000000000001,10
2191,0.03764000000000001,-0.007200000000000001,10
2192,0.037680000000000005,-0.0064,10
2193,0.037720000000000004,-0.0032,10
2194,0.03776,-0.0048000000000000004,10
2195,0.0378,-0.0128,10
2196,0.03784,-0.0176,10
2197,0.03788000000000001,-0.023200000000000002,10
2198,0.03792000000000001,-0.019200000000000002,10
2199,0.03796000000000001,-0.014400000000000001,10
2200,0.038000000000000006,-0.012,10
2201,0.038040000000000004,-0.0176,10
2202,0.03808,-0.014400000000000001,10
2203,0.03812,-0.013600000000000001,10
2204,0.03816,-0.016,10
2205,0.0382,-0.0128,10
2206,0.03824000000000001,-0.012,10
2207,0.03828000000000001,-0.0176,10
2208,0.03832000000000001,-0.013600000000000001,10
2209,0.038360000000000005,-0.016800000000000002,10
2210,0.038400000000000004,-0.023200000000000002,10
2211,0.03844,-0.020800000000000003,10
2212,0.03848,-0.0176,10
2213,0.03852,-0.0152,10
2214,0.03856000000000001,-0.0176,10
2215,0.03860000000000001,-0.013600000000000001,10
2216,0.03864000000000001,-0.0088,10
2217,0.038680000000000006,-0.0128,10
2218,0.038720000000000004,-0.014400000000000001,10
2219,0.03876,-0.014400000000000001,10
2220,0.0388,-0.0064,10
2221,0.03884,-0.009600000000000001,10
2222,0.03888,-0.008,10
2223,0.03892000000000001,-0.0048000000000000004,10
2224,0.03896000000000001,-0.0024000000000000002,10
2225,0.03900000000000001,-0.004,10
2226,0.039040000000000005,-0.010400000000000001,10
2227,0.039080000000000004,-0.0088,10
2228,0.03912,-0.0064,10
2229,0.03916,-0.0088,10
2230,0.0392,-0.020800000000000003,10
2231,0.03924000000000001,-0.02,10
2232,0.03928000000000001,-0.024800000000000003,10
2233,0.03932000000000001,-0.0224,10
2234,0.039360000000000006,-0.019200000000000002,10
2235,0.039400000000000004,-0.016,10
2236,0.03944,-0.0216,10
2237,0.03948,-0.016,10
2238,0.03952,-0.014400000000000001,10
2239,0.03956,-0.0088,10
2240,0.03960000000000001,-0.0128,10
2241,0.03964000000000001,-0.031200000000000002,10
2242,0.03968000000000001,-0.027200000000000002,10
2243,0.039720000000000005,-0.024800000000000003,10
2244,0.039760000000000004,-0.023200000000000002,10
2245,0.0398,-0.02,10
2246,0.03984,-0.016,10
2247,0.03988,-0.0152,10
2248,0.03992000000000001,-0.0128,10
2249,0.03996000000000001,-0.0112,10
2250,0.04000000000000001,-0.009600000000000001,10
2251,0.040040000000000006,-0.007200000000000001,10
2252,0.040080000000000005,-0.008,10
2253,0.04012,-0.0088,10
2254,0.04016,-0.009600000000000001,10
2255,0.0402,-0.0112,10
2256,0.04024,-0.009600000000000001,10
2257,0.04028000000000001,-0.009600000000000001,10
2258,0.04032000000000001,-0.008,10
2259,0.04036000000000001,-0.008,10
2260,0.040400000000000005,-0.0112,10
2261,0.040440000000000004,-0.0176,10
2262,0.04048,-0.0256,10
2263,0.04052,-0.02,10
2264,0.04056,-0.020800000000000003,10
2265,0.04060000000000001,-0.02,10
2266,0.04064000000000001,-0.016800000000000002,10
2267,0.04068000000000001,-0.027200000000000002,10
2268,0.040720000000000006,-0.031200000000000002,10
2269,0.040760000000000005,-0.0176,10
2270,0.0408,-0.019200000000000002,10
2271,0.04084,-0.02,10
2272,0.04088,-0.016800000000000002,10
2273,0.04092,-0.019200000000000002,10
2274,0.04096000000000001,-0.028,10
2275,0.04100000000000001,-0.024800000000000003,10
2276,0.04104000000000001,-0.019200000000000002,10
2277,0.041080000000000005,-0.0224,10
2278,0.041120000000000004,-0.0224,10
2279,0.04116,-0.024800000000000003,10
2280,0.0412,-0.027200000000000002,10
2281,0.04124,-0.0344,10
2282,0.04128000000000001,-0.031200000000000002,10
2283,0.04132000000000001,-0.024,10
2284,0.04136000000000001,-0.028800000000000003,10
2285,0.041400000000000006,-0.0176,10
2286,0.041440000000000005,-0.027200000000000002,10
2287,0.04148,-0.023200000000000002,10
2288,0.04152,-0.0216,10
2289,0.04156,-0.0216,10
2290,0.0416,-0.0216,10
2291,0.04164000000000001,-0.024800000000000003,10
2292,0.04168000000000001,-0.024,10
2293,0.04172000000000001,-0.020800000000000003,10
2294,0.041760000000000005,-0.027200000000000002,10
2295,0.041800000000000004,-0.024,10
2296,0.04184,-0.0264,10
2297,0.04188,-0.024800000000000003,10
2298,0.04192,-0.023200000000000002,10
2299,0.04196000000000001,-0.016800000000000002,10
2300,0.04200000000000001,-0.0176,10
2301,0.04204000000000001,-0.0176,10
2302,0.042080000000000006,-0.024800000000000003,10
2303,0.042120000000000005,-0.023200000000000002,10
2304,0.04216,-0.0216,10
2305,0.0422,-0.019200000000000002,10
2306,0.04224,-0.016800000000000002,10
2307,0.04228,-0.013600000000000001,10
2308,0.04232000000000001,-0.023200000000000002,10
2309,0.04236000000000001,-0.0184,10
2310,0.04240000000000001,-0.02,10
2311,0.042440000000000005,-0.016800000000000002,10
2312,0.042480000000000004,-0.0128,10
2313,0.04252,-0.0152,10
2314,0.04256,-0.0296,10
2315,0.0426,-0.0264,10
2316,0.04264000000000001,-0.0264,10
2317,0.04268000000000001,-0.024800000000000003,10
2318,0.04272000000000001,-0.024800000000000003,10
2319,0.042760000000000006,-0.0224,10
2320,0.042800000000000005,-0.0224,10
2321,0.04284,-0.019200000000000002,10
2322,0.04288,-0.023200000000000002,10
2323,0.04292,-0.0176,10
2324,0.04296,-0.0152,10
2325,0.04300000000000001,-0.0152,10
2326,0.04304000000000001,-0.014400000000000001,10
2327,0.04308000000000001,-0.0128,10
2328,0.043120000000000006,-0.0128,10
2329,0.043160000000000004,-0.012,10
2330,0.0432,-0.010400000000000001,10
2331,0.04324,-0.010400000000000001,10
2332,0.04328,-0.0176,10
2333,0.04332000000000001,-0.023200000000000002,10
2334,0.04336000000000001,-0.020800000000000003,10
2335,0.04340000000000001,-0.016,10
2336,0.043440000000000006,-0.0152,10
